No,date,open,high,low,close,volume
99,25/09/2019,118.63,120.7,117.31,120.18,144442
100,26/09/2019,120.25,120.89,119.39,120.34,117066
101,27/09/2019,120.83,121.09,117.83,118.77,152638
102,30/09/2019,119.07,120.06,118.82,119.89,103844
103,01/10/2019,120.44,120.95,118.14,118.21,146783
104,02/10/2019,117.51,117.6,115.19,116.12,218407
105,03/10/2019,116.37,117.93,114.88,117.52,182719
106,04/10/2019,117.94,119.22,117.65,119.11,153386
107,07/10/2019,118.36,119.16,118.16,118.25,104080
108,08/10/2019,118.23,118.8,116.95,117,189333
109,09/10/2019,118.57,119.61,118.12,119.21,145547
110,10/10/2019,119.39,120.45,119.22,119.95,127990
111,11/10/2019,120.86,121.62,120.3,120.45,189703
112,14/10/2019,120.44,120.98,120.32,120.34,89675
113,15/10/2019,120.78,122.27,120.57,122.09,149694
114,16/10/2019,121.4,121.59,120.33,121.09,153096
115,17/10/2019,121.54,121.96,119.88,120.46,158200
116,18/10/2019,120.54,120.73,117.76,118.5,237136
117,21/10/2019,119.43,119.45,118.15,119.38,137754
118,22/10/2019,119.86,120.74,117.51,117.6,218157
119,23/10/2019,117.99,118.53,116.94,118.35,216631
120,24/10/2019,120.03,121.09,119.58,120.68,296223
121,25/10/2019,120.15,121.71,120.04,121.36,180668
122,28/10/2019,124.7,125.62,123.76,124.35,267063
123,29/10/2019,124.25,124.61,123.02,123.17,148201
124,30/10/2019,123.71,125.04,123.14,124.71,138060
125,31/10/2019,124.8,125.02,123.31,123.64,151498
126,01/11/2019,124.4,124.54,123.29,123.94,192169
127,04/11/2019,124.9,125.04,124.32,124.65,122077
128,05/11/2019,125.03,125.06,124.1,124.58,119203
129,06/11/2019,124.47,124.63,123.49,124.23,105834
130,07/11/2019,124.04,124.94,123.89,124.4,120346
131,08/11/2019,124.15,125.9,123.97,125.87,122098
132,11/11/2019,125.34,126.27,124.81,126,110380
133,12/11/2019,126.15,127.26,125.96,126.83,128063
134,13/11/2019,126.63,127.17,126.15,127.04,120025
135,14/11/2019,126.8,127.98,126.77,127.68,112648
136,15/11/2019,128.39,129.35,127.86,129.33,156875
137,18/11/2019,129.41,129.83,128.47,129.65,146411
138,19/11/2019,130.1,130.5,129.52,129.69,153394
139,20/11/2019,129.99,130.53,128.46,129.46,164267
140,21/11/2019,129.33,129.62,128.5,129.35,103699
141,22/11/2019,129.87,130.06,128.77,129.44,104450
142,25/11/2019,129.81,130.96,129.73,130.86,122038
143,26/11/2019,130.98,131.89,130.94,131.55,113691
144,27/11/2019,131.78,131.96,131.11,131.8,103149
145,29/11/2019,131.61,131.78,130.9,130.99,70903
146,02/12/2019,131.35,131.41,128.34,129.4,180120
147,03/12/2019,127.62,129.3,126.9,129.2,163513
148,04/12/2019,129.85,129.95,129.1,129.67,126572
149,05/12/2019,129.85,130.07,129.36,129.73,103550
150,06/12/2019,130.68,131.41,130.03,131.31,109896
151,09/12/2019,130.77,131.71,130.58,130.97,96893
152,10/12/2019,130.79,131.43,130.45,130.77,115180
153,11/12/2019,131.19,131.41,130.08,131.27,125985
154,12/12/2019,131.31,132.77,130.68,132.6,174942
155,13/12/2019,132.49,134.03,132.24,133.72,170138
156,16/12/2019,134.23,134.9,133.97,134.58,129711
157,17/12/2019,134.7,134.75,133.65,133.85,140328
158,18/12/2019,133.65,134.53,133.41,133.58,118628
159,19/12/2019,133.47,134.79,133.04,134.74,146729
160,20/12/2019,136.11,137.14,135.24,136.2,256153
161,23/12/2019,136.72,136.82,136.09,136.2,104732
162,24/12/2019,136.24,136.47,135.95,136.18,42307
163,26/12/2019,136.33,137.35,136.2,137.3,72619
164,27/12/2019,138.01,138.06,136.91,137.55,103216
165,30/12/2019,137.44,137.6,135.62,136.36,112156
166,31/12/2019,135.72,136.52,135.38,136.46,102478
167,02/01/2020,137.28,139.08,137,138.98,152001
168,03/01/2020,136.98,138.4,136.77,137.25,143070
169,06/01/2020,135.85,137.67,135.43,137.61,125518
170,07/01/2020,137.86,138.16,136.13,136.35,147730
171,08/01/2020,137.52,139.14,136.66,138.53,186743
172,09/01/2020,140.05,140.37,139.34,140.25,140621
173,10/01/2020,140.82,141.24,139.47,139.61,142145
174,13/01/2020,140.09,141.31,139.54,141.28,128157
175,14/01/2020,141.24,141.56,139.93,140.29,150226
176,15/01/2020,140.7,141.86,140.67,141.2,133263
177,16/01/2020,142.21,143.85,141.94,143.79,145256
178,17/01/2020,144.83,144.91,143.15,144.59,198668
179,21/01/2020,144.26,145.53,144.01,144.07,155859
180,22/01/2020,144.73,144.93,143.36,143.38,154272
181,23/01/2020,143.8,144.33,143.01,144.26,108483
182,24/01/2020,144.9,144.97,142.3,142.81,180764
183,27/01/2020,139.46,141.37,138.62,140.42,186137
184,28/01/2020,141.72,143.43,141.1,143.17,150412
185,29/01/2020,145.23,146.02,143.37,145.4,220293
186,30/01/2020,150.6,150.64,147.78,149.51,406832
187,31/01/2020,148.98,149.18,146.74,147.3,264868
188,03/02/2020,147.47,151,147.45,150.89,206415
189,04/02/2020,153.29,156.31,152.56,155.86,251188
190,05/02/2020,159.24,159.39,154.38,155.67,290958
191,06/02/2020,156.59,159.06,155.8,158.9,200993
192,07/02/2020,158.23,160.62,157.9,159.12,227090
193,10/02/2020,158.79,163.4,158.56,163.28,244294
194,11/02/2020,164.93,165.01,158.78,159.59,432730
195,12/02/2020,160.6,160.81,157.35,159.83,355846
196,13/02/2020,158.44,161.14,158.23,158.96,279991
197,14/02/2020,158.52,160.43,158.05,160.38,169621
198,18/02/2020,160.74,162.42,160.51,162.01,200891
199,19/02/2020,163.16,163.27,161.79,162.49,159789
200,20/02/2020,162.24,162.47,157.13,160.01,268952
201,21/02/2020,158.93,159.22,153.79,154.96,366361
202,24/02/2020,145.71,151.45,142.3,148.27,501610
203,25/02/2020,151.14,151.7,145.46,145.83,494911
204,26/02/2020,147.25,150.33,145.95,147.65,395448
205,27/02/2020,141.6,144.93,137.07,137.25,684105
206,28/02/2020,132.25,142.05,131.88,140.57,707561
