,date,open,high,low,close,volume
98,2019-09-24,47.75,48.04,46.89,47.00,886091.0
99,2019-09-25,47.23,47.82,46.88,47.72,625534.0
100,2019-09-26,47.47,47.70,47.25,47.47,521777.0
101,2019-09-27,47.59,47.71,46.91,47.24,738564.0
102,2019-09-30,47.69,48.49,47.67,48.36,757371.0
103,2019-10-01,48.61,49.28,48.40,48.49,1058545.0
104,2019-10-02,48.17,48.27,47.05,47.27,1028774.0
105,2019-10-03,47.18,47.71,46.45,47.68,862534.0
106,2019-10-04,48.73,49.12,48.34,49.01,1049574.0
107,2019-10-07,48.85,49.64,48.76,49.02,972203.0
108,2019-10-08,48.76,49.24,48.43,48.45,816091.0
109,2019-10-09,49.02,49.18,48.71,49.02,567328.0
110,2019-10-10,49.21,49.75,49.07,49.68,882437.0
111,2019-10-11,50.30,51.31,50.16,51.00,1322348.0
112,2019-10-14,50.76,51.41,50.66,50.92,737100.0
113,2019-10-15,51.03,51.31,50.71,50.81,629042.0
114,2019-10-16,50.38,50.79,50.35,50.60,542834.0
115,2019-10-17,50.76,50.98,50.42,50.80,499019.0
116,2019-10-18,50.60,51.30,50.59,51.04,683781.0
117,2019-10-21,51.31,52.03,51.24,51.93,633165.0
118,2019-10-22,52.06,52.29,51.73,51.81,643069.0
119,2019-10-23,52.27,52.51,52.08,52.51,595640.0
120,2019-10-24,52.79,52.85,52.21,52.59,531646.0
121,2019-10-25,52.51,53.27,52.44,53.24,545074.0
122,2019-10-28,53.43,53.82,53.27,53.77,711161.0
123,2019-10-29,53.76,53.92,52.37,52.53,1117596.0
124,2019-10-30,52.81,52.96,52.08,52.52,844647.0
125,2019-10-31,53.36,53.80,51.23,53.71,1001346.0
126,2019-11-01,53.88,55.26,53.79,55.23,1186843.0
127,2019-11-04,55.57,55.67,55.14,55.59,798942.0
128,2019-11-05,55.49,55.74,55.34,55.52,564994.0
129,2019-11-06,55.46,55.59,55.13,55.54,506480.0
130,2019-11-07,56.03,56.38,55.89,56.18,728811.0
131,2019-11-08,56.02,56.40,55.62,56.34,511739.0
132,2019-11-11,55.95,56.84,55.93,56.78,584345.0
133,2019-11-12,56.66,56.91,56.50,56.73,650761.0
134,2019-11-13,56.54,57.34,56.54,57.27,814449.0
135,2019-11-14,57.15,57.36,56.76,56.87,668812.0
136,2019-11-15,57.10,57.55,56.95,57.55,767376.0
137,2019-11-18,57.56,57.91,57.22,57.84,595438.0
138,2019-11-19,58.01,58.04,57.47,57.66,496226.0
139,2019-11-20,57.49,57.62,56.39,56.99,729928.0
140,2019-11-21,57.16,57.17,56.56,56.74,557940.0
141,2019-11-22,56.86,56.99,56.48,56.69,486654.0
142,2019-11-25,56.87,57.70,56.85,57.68,468214.0
143,2019-11-26,57.80,57.85,57.09,57.23,496711.0
144,2019-11-27,57.52,58.03,57.45,58.00,459876.0
145,2019-11-29,57.73,58.04,57.58,57.87,309664.0
146,2019-12-02,57.95,58.09,57.05,57.20,627204.0
147,2019-12-03,55.94,56.20,55.50,56.18,874438.0
148,2019-12-04,56.54,57.02,56.45,56.68,483194.0
149,2019-12-05,57.12,57.58,56.90,57.51,523878.0
150,2019-12-06,57.93,58.68,57.88,58.62,781467.0
